epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4174,2.18137,3.21018,1.7378,0.54357,0.7415,0.62927,0.30786,1.46131,5.02213,1.68092,0.0004,0.0004,0.0004
2,34.494,1.3313,1.16687,1.15968,0.48872,0.70068,0.63651,0.28446,1.67161,3.11967,1.42108,0.00080647,0.00080647,0.00080647
3,46.4097,1.25734,0.98023,1.15034,0.36358,0.5102,0.30035,0.13915,1.83695,3.78076,1.63406,0.00119908,0.00119908,0.00119908
4,59.8431,1.28468,0.91443,1.18961,0.3935,0.60204,0.41011,0.16983,1.87335,3.98419,1.69573,0.00157783,0.00157783,0.00157783
5,74.8919,1.27555,0.89637,1.1727,0.39199,0.67687,0.49844,0.21935,1.91701,2.41414,1.74433,0.001868,0.001868,0.001868
6,87.7374,1.26328,0.88995,1.15804,0.74928,0.77255,0.80035,0.38158,1.6482,2.25375,1.32109,0.001835,0.001835,0.001835
7,99.6898,1.24911,0.85279,1.13643,0.6722,0.80952,0.76928,0.40778,1.45762,1.6055,1.23382,0.001802,0.001802,0.001802
8,112.266,1.21762,0.82045,1.12785,0.75425,0.7619,0.75889,0.4387,1.40966,1.63275,1.32663,0.001769,0.001769,0.001769
9,129.06,1.16374,0.78437,1.10242,0.80866,0.72109,0.82443,0.49117,1.3848,1.03302,1.19581,0.001736,0.001736,0.001736
10,140.964,1.13488,0.74513,1.08717,0.53247,0.81738,0.62344,0.3171,1.48135,1.33039,1.21799,0.001703,0.001703,0.001703
11,153.514,1.15663,0.74283,1.08696,0.8057,0.86735,0.8575,0.52489,1.23829,0.94895,1.08156,0.00167,0.00167,0.00167
12,168.246,1.12886,0.73801,1.08056,0.77554,0.85714,0.8685,0.52033,1.25031,0.90082,1.14177,0.001637,0.001637,0.001637
13,181.185,1.0906,0.7376,1.06345,0.80809,0.88776,0.87859,0.54491,1.24029,0.85639,1.0933,0.001604,0.001604,0.001604
14,197.059,1.11495,0.73479,1.064,0.76152,0.87755,0.88698,0.53956,1.24573,0.91659,1.11397,0.001571,0.001571,0.001571
15,210.964,1.04946,0.7138,1.04079,0.59255,0.88543,0.70999,0.45292,1.13713,1.38375,1.07594,0.001538,0.001538,0.001538
16,222.163,1.08403,0.70035,1.05148,0.77425,0.88659,0.88658,0.55602,1.12624,0.9982,1.05792,0.001505,0.001505,0.001505
17,242.121,1.03857,0.66651,1.03519,0.90064,0.89409,0.94693,0.62226,1.12751,0.77989,1.03823,0.001472,0.001472,0.001472
18,254.134,1.04077,0.65519,1.03468,0.93141,0.92371,0.96359,0.6194,1.08539,0.75447,1.0422,0.001439,0.001439,0.001439
19,269.788,1.06784,0.6446,1.03071,0.87047,0.86859,0.92459,0.59167,1.14993,0.7884,1.01762,0.001406,0.001406,0.001406
20,286.414,1.04446,0.63488,1.02681,0.85429,0.93878,0.92479,0.59215,1.13576,0.67518,1.03086,0.001373,0.001373,0.001373
21,301.426,1.03664,0.62414,1.01521,0.89539,0.93197,0.9352,0.57063,1.22568,0.69619,1.03135,0.00134,0.00134,0.00134
22,312.106,1.01338,0.61599,1.003,0.88495,0.93197,0.93111,0.60819,1.07256,0.62964,1.02081,0.001307,0.001307,0.001307
23,325.65,1.03191,0.65353,1.02417,0.87366,0.90476,0.91507,0.59599,1.12641,0.68706,1.00557,0.001274,0.001274,0.001274
24,341.261,1.01446,0.61436,1.00549,0.87618,0.94898,0.92393,0.60511,1.09736,0.68436,0.97987,0.001241,0.001241,0.001241
25,356.019,1.02359,0.62509,1.00848,0.87004,0.91083,0.94327,0.62466,1.05378,0.69989,1.00515,0.001208,0.001208,0.001208
26,371.279,1.01713,0.61404,1.00144,0.86259,0.92857,0.93579,0.60451,1.13191,0.68028,1.02996,0.001175,0.001175,0.001175
27,388.25,0.9917,0.58764,0.99045,0.92287,0.93878,0.94502,0.62435,1.07378,0.66297,1.0331,0.001142,0.001142,0.001142
28,400.94,1.01683,0.60146,1.00701,0.90369,0.92177,0.95661,0.62716,1.0442,0.64375,0.98673,0.001109,0.001109,0.001109
29,417.459,1.03021,0.61369,1.00251,0.86638,0.92631,0.93067,0.60817,1.11,0.68228,1.00264,0.001076,0.001076,0.001076
30,433.526,0.98098,0.6026,0.99403,0.89974,0.90136,0.94921,0.63755,1.02284,0.64253,0.97054,0.001043,0.001043,0.001043
31,446.624,0.99148,0.58555,0.98611,0.92531,0.92707,0.95005,0.64376,1.03767,0.60143,0.98787,0.00101,0.00101,0.00101
32,462.474,1.00892,0.58584,0.99569,0.89602,0.93795,0.94737,0.61908,1.14508,0.64235,0.98344,0.000977,0.000977,0.000977
33,473.091,0.9327,0.56629,0.97425,0.89217,0.93537,0.93004,0.61707,1.05594,0.57958,0.96812,0.000944,0.000944,0.000944
34,485.391,0.95522,0.55962,0.9738,0.93636,0.9508,0.95933,0.64941,1.04217,0.58304,0.95446,0.000911,0.000911,0.000911
35,500.847,0.92234,0.54663,0.96654,0.94086,0.91837,0.95712,0.64433,1.05945,0.56866,0.97338,0.000878,0.000878,0.000878
36,514.089,0.94965,0.56595,0.968,0.83933,0.89116,0.89785,0.60796,1.08956,0.62755,0.9713,0.000845,0.000845,0.000845
37,526.341,0.9473,0.56532,0.97572,0.91705,0.94004,0.95341,0.6498,1.01189,0.59957,0.97115,0.000812,0.000812,0.000812
38,542.46,0.93482,0.5391,0.9664,0.92756,0.95819,0.96421,0.65589,1.02853,0.57094,0.97097,0.000779,0.000779,0.000779
39,559.891,0.93613,0.54506,0.96913,0.94123,0.92605,0.97002,0.65443,1.02942,0.56404,0.95314,0.000746,0.000746,0.000746
40,577.516,0.91599,0.53846,0.96145,0.88426,0.95238,0.9506,0.64131,1.03476,0.60028,0.95973,0.000713,0.000713,0.000713
41,589.938,0.93123,0.5417,0.96395,0.9243,0.94218,0.96343,0.65341,1.04175,0.56839,0.963,0.00068,0.00068,0.00068
42,609.5,0.93641,0.52646,0.9643,0.93282,0.94457,0.95774,0.63981,1.05868,0.5703,0.9512,0.000647,0.000647,0.000647
43,623.065,0.89661,0.52685,0.94721,0.90994,0.92857,0.93997,0.64706,1.02066,0.62372,0.9577,0.000614,0.000614,0.000614
44,635.118,0.90724,0.51755,0.95608,0.94024,0.96331,0.95899,0.65729,1.0174,0.59308,0.9654,0.000581,0.000581,0.000581
45,654.035,0.88664,0.51106,0.9484,0.92487,0.96308,0.9615,0.66739,1.01036,0.57842,0.95499,0.000548,0.000548,0.000548
46,669.171,0.90099,0.52484,0.94948,0.91906,0.92688,0.95048,0.64337,1.04666,0.57842,0.96055,0.000515,0.000515,0.000515
47,681.549,0.91054,0.5221,0.95895,0.91555,0.92187,0.94952,0.65536,1.02066,0.59812,0.95876,0.000482,0.000482,0.000482
48,699.806,0.88948,0.5039,0.94565,0.93202,0.93261,0.95394,0.65341,1.02412,0.5916,0.95761,0.000449,0.000449,0.000449
49,710.302,0.86799,0.50023,0.93375,0.93876,0.93858,0.95297,0.66156,0.97408,0.55281,0.94869,0.000416,0.000416,0.000416
50,725.058,0.86645,0.49035,0.93195,0.94019,0.91497,0.95755,0.66283,1.02211,0.57214,0.95954,0.000383,0.000383,0.000383
51,741.959,0.88668,0.56092,0.93118,0.95225,0.94974,0.96385,0.67,0.98266,0.58745,0.97293,0.00035,0.00035,0.00035
52,757.855,0.89647,0.54942,0.91688,0.91278,0.94558,0.95964,0.66498,0.98747,0.58993,0.9546,0.000317,0.000317,0.000317
53,769.169,0.85743,0.50313,0.91007,0.9483,0.94558,0.96277,0.66236,1.00396,0.55517,0.95805,0.000284,0.000284,0.000284
54,781.961,0.83002,0.47925,0.90411,0.93448,0.95238,0.95127,0.66365,0.98219,0.55387,0.95157,0.000251,0.000251,0.000251
55,796.898,0.84486,0.48516,0.92093,0.92141,0.95704,0.95217,0.65724,0.98338,0.54485,0.94676,0.000218,0.000218,0.000218
56,812.789,0.83275,0.49309,0.90639,0.93435,0.95578,0.9586,0.66898,0.96647,0.532,0.94403,0.000185,0.000185,0.000185
57,824.483,0.80275,0.48035,0.89627,0.94243,0.9466,0.96515,0.67695,0.97279,0.52278,0.93899,0.000152,0.000152,0.000152
58,836.318,0.82778,0.47828,0.90814,0.92352,0.94469,0.95202,0.66932,0.97849,0.54136,0.9391,0.000119,0.000119,0.000119
59,851.389,0.80519,0.46485,0.90363,0.92104,0.94898,0.95058,0.66089,0.97515,0.54313,0.94052,8.6e-05,8.6e-05,8.6e-05
60,868.27,0.81929,0.46951,0.90724,0.94831,0.93608,0.9523,0.66253,0.97103,0.5429,0.94804,5.3e-05,5.3e-05,5.3e-05
